"Tarih","Saat","Pozitif Dengesizlik Miktarý (MWh)","Negatif Dengesizlik Miktarý (MWh)"
"01/01/2016","00:00","1.654,56","-1.690,12"
"01/01/2016","01:00","1.257,38","-1.611,61"
"01/01/2016","02:00","1.023,55","-1.441,21"
"01/01/2016","03:00","1.114,93","-1.135,18"
"01/01/2016","04:00","1.492,12","-1.117,20"
"01/01/2016","05:00","1.644,60","-1.222,91"
"01/01/2016","06:00","1.542,69","-1.401,97"
"01/01/2016","07:00","1.831,74","-1.501,99"
"01/01/2016","08:00","1.922,30","-1.835,52"
"01/01/2016","09:00","2.293,07","-2.253,04"
"01/01/2016","10:00","1.822,59","-1.935,00"
"01/01/2016","11:00","1.936,87","-2.644,79"
"01/01/2016","12:00","1.724,86","-2.470,74"
"01/01/2016","13:00","1.508,75","-2.460,70"
"01/01/2016","14:00","1.454,09","-2.510,10"
"01/01/2016","15:00","1.639,25","-2.579,37"
"01/01/2016","16:00","1.826,69","-2.099,15"
"01/01/2016","17:00","1.755,72","-2.260,27"
"01/01/2016","18:00","1.665,00","-2.369,51"
"01/01/2016","19:00","2.028,33","-2.181,24"
"01/01/2016","20:00","1.868,85","-2.243,22"
"01/01/2016","21:00","1.363,20","-2.381,97"
"01/01/2016","22:00","1.329,06","-2.390,41"
"01/01/2016","23:00","1.444,05","-2.175,59"
"02/01/2016","00:00","2.372,42","-816,80"
"02/01/2016","01:00","2.280,07","-625,04"
"02/01/2016","02:00","2.499,47","-679,99"
"02/01/2016","03:00","2.757,98","-540,00"
"02/01/2016","04:00","2.422,09","-615,94"
"02/01/2016","05:00","2.696,89","-708,93"
"02/01/2016","06:00","2.431,19","-749,76"
"02/01/2016","07:00","2.975,34","-696,38"
"02/01/2016","08:00","3.350,94","-990,82"
"02/01/2016","09:00","3.367,47","-1.355,05"
"02/01/2016","10:00","3.134,21","-1.417,35"
"02/01/2016","11:00","2.830,53","-2.014,82"
"02/01/2016","12:00","2.143,01","-1.884,08"
"02/01/2016","13:00","2.161,13","-1.797,42"
"02/01/2016","14:00","1.878,28","-1.706,74"
"02/01/2016","15:00","1.728,39","-1.662,00"
"02/01/2016","16:00","1.953,26","-1.664,85"
"02/01/2016","17:00","1.539,99","-1.692,63"
"02/01/2016","18:00","1.594,93","-1.825,68"
"02/01/2016","19:00","1.598,64","-1.920,11"
"02/01/2016","20:00","2.028,64","-1.600,28"
"02/01/2016","21:00","1.715,17","-1.581,72"
"02/01/2016","22:00","1.658,91","-1.854,82"
"02/01/2016","23:00","2.009,87","-1.654,07"
"03/01/2016","00:00","1.743,07","-1.571,23"
"03/01/2016","01:00","1.243,23","-1.043,75"
"03/01/2016","02:00","1.075,85","-955,99"
"03/01/2016","03:00","990,54","-778,32"
"03/01/2016","04:00","1.027,24","-759,53"
"03/01/2016","05:00","1.322,53","-857,95"
"03/01/2016","06:00","1.340,62","-1.177,88"
"03/01/2016","07:00","1.248,36","-1.138,55"
"03/01/2016","08:00","1.478,81","-1.012,28"
"03/01/2016","09:00","1.615,82","-1.260,70"
"03/01/2016","10:00","1.436,83","-2.283,51"
"03/01/2016","11:00","1.115,99","-2.165,18"
"03/01/2016","12:00","978,14","-2.245,67"
"03/01/2016","13:00","894,85","-2.366,65"
"03/01/2016","14:00","760,19","-2.579,16"
"03/01/2016","15:00","760,46","-2.460,95"
"03/01/2016","16:00","1.223,36","-2.199,67"
"03/01/2016","17:00","751,87","-2.272,67"
"03/01/2016","18:00","707,65","-2.392,36"
"03/01/2016","19:00","703,15","-2.527,89"
"03/01/2016","20:00","658,26","-2.715,02"
"03/01/2016","21:00","996,68","-2.202,62"
"03/01/2016","22:00","1.109,06","-2.121,45"
"03/01/2016","23:00","705,24","-1.854,00"
"04/01/2016","00:00","969,61","-1.277,60"
"04/01/2016","01:00","979,08","-1.364,02"
"04/01/2016","02:00","874,91","-1.284,27"
"04/01/2016","03:00","972,25","-1.195,09"
"04/01/2016","04:00","1.139,78","-1.775,15"
"04/01/2016","05:00","1.267,47","-1.334,09"
"04/01/2016","06:00","1.679,69","-1.614,46"
"04/01/2016","07:00","2.057,41","-1.526,61"
"04/01/2016","08:00","1.333,57","-3.193,57"
"04/01/2016","09:00","970,99","-3.723,42"
"04/01/2016","10:00","870,97","-3.550,78"
"04/01/2016","11:00","911,41","-3.363,35"
"04/01/2016","12:00","569,40","-3.984,64"
"04/01/2016","13:00","810,33","-4.160,88"
"04/01/2016","14:00","628,90","-4.271,71"
"04/01/2016","15:00","704,73","-4.160,66"
"04/01/2016","16:00","847,30","-3.887,87"
"04/01/2016","17:00","585,77","-3.204,21"
"04/01/2016","18:00","829,64","-2.334,54"
"04/01/2016","19:00","730,23","-2.251,18"
"04/01/2016","20:00","1.070,41","-2.202,38"
"04/01/2016","21:00","1.120,19","-2.241,03"
"04/01/2016","22:00","886,59","-2.289,82"
"04/01/2016","23:00","801,94","-2.287,48"
"05/01/2016","00:00","1.097,08","-1.187,13"
"05/01/2016","01:00","892,72","-1.138,21"
"05/01/2016","02:00","717,07","-971,11"
"05/01/2016","03:00","889,73","-1.011,33"
"05/01/2016","04:00","779,10","-996,49"
"05/01/2016","05:00","868,18","-1.318,77"
"05/01/2016","06:00","1.161,23","-1.445,45"
"05/01/2016","07:00","1.476,47","-1.175,60"
"05/01/2016","08:00","1.491,01","-1.259,24"
"05/01/2016","09:00","1.182,43","-2.907,67"
"05/01/2016","10:00","1.078,71","-3.265,33"
"05/01/2016","11:00","915,94","-2.924,71"
"05/01/2016","12:00","858,49","-2.353,47"
"05/01/2016","13:00","914,18","-2.785,14"
"05/01/2016","14:00","1.001,97","-2.861,03"
"05/01/2016","15:00","1.126,77","-2.380,71"
"05/01/2016","16:00","1.327,69","-2.078,27"
"05/01/2016","17:00","1.530,02","-1.303,86"
"05/01/2016","18:00","1.784,26","-1.074,43"
"05/01/2016","19:00","1.819,19","-1.054,74"
"05/01/2016","20:00","1.960,45","-848,58"
"05/01/2016","21:00","1.797,34","-758,74"
"05/01/2016","22:00","1.625,12","-810,05"
"05/01/2016","23:00","1.742,93","-513,77"
"06/01/2016","00:00","1.535,62","-648,50"
"06/01/2016","01:00","922,60","-939,87"
"06/01/2016","02:00","931,62","-964,48"
"06/01/2016","03:00","1.247,41","-770,58"
"06/01/2016","04:00","1.436,56","-797,92"
"06/01/2016","05:00","1.657,07","-769,15"
"06/01/2016","06:00","1.704,40","-1.143,54"
"06/01/2016","07:00","1.721,18","-999,28"
"06/01/2016","08:00","1.710,51","-2.444,30"
"06/01/2016","09:00","2.126,70","-2.227,69"
"06/01/2016","10:00","2.216,96","-1.655,31"
"06/01/2016","11:00","2.421,00","-1.712,34"
"06/01/2016","12:00","2.700,08","-1.920,82"
"06/01/2016","13:00","2.740,49","-1.766,78"
"06/01/2016","14:00","2.634,80","-1.670,86"
"06/01/2016","15:00","2.780,75","-1.579,60"
"06/01/2016","16:00","2.753,74","-1.158,51"
"06/01/2016","17:00","2.098,24","-1.158,52"
"06/01/2016","18:00","2.280,47","-876,72"
"06/01/2016","19:00","2.456,74","-891,97"
"06/01/2016","20:00","2.100,10","-939,94"
"06/01/2016","21:00","1.915,56","-1.095,61"
"06/01/2016","22:00","1.952,60","-684,99"
"06/01/2016","23:00","1.229,72","-827,31"
"07/01/2016","00:00","1.056,93","-1.543,40"
"07/01/2016","01:00","789,39","-1.121,50"
"07/01/2016","02:00","865,01","-808,36"
"07/01/2016","03:00","924,69","-788,44"
"07/01/2016","04:00","912,18","-931,94"
"07/01/2016","05:00","1.005,86","-1.043,21"
"07/01/2016","06:00","1.326,77","-1.488,92"
"07/01/2016","07:00","1.800,99","-1.168,51"
"07/01/2016","08:00","1.708,91","-1.439,94"
"07/01/2016","09:00","2.090,81","-1.762,19"
"07/01/2016","10:00","2.179,60","-1.492,20"
"07/01/2016","11:00","1.898,16","-2.512,80"
"07/01/2016","12:00","2.161,39","-1.826,69"
"07/01/2016","13:00","2.014,93","-2.220,63"
"07/01/2016","14:00","1.661,00","-2.177,46"
"07/01/2016","15:00","1.677,48","-2.041,79"
"07/01/2016","16:00","2.059,47","-1.596,85"
"07/01/2016","17:00","1.417,20","-1.578,91"
"07/01/2016","18:00","1.724,39","-1.404,53"
"07/01/2016","19:00","1.904,46","-1.208,89"
"07/01/2016","20:00","1.804,03","-1.260,44"
"07/01/2016","21:00","1.957,17","-1.407,41"
"07/01/2016","22:00","2.168,80","-1.193,69"
"07/01/2016","23:00","2.012,56","-1.273,92"
"08/01/2016","00:00","2.114,14","-786,77"
"08/01/2016","01:00","1.754,01","-793,48"
"08/01/2016","02:00","1.583,23","-841,76"
"08/01/2016","03:00","1.506,65","-974,80"
"08/01/2016","04:00","1.457,93","-1.204,30"
"08/01/2016","05:00","1.733,05","-1.036,37"
"08/01/2016","06:00","2.389,48","-916,10"
"08/01/2016","07:00","2.450,45","-798,79"
"08/01/2016","08:00","1.989,42","-1.558,28"
"08/01/2016","09:00","2.442,76","-1.184,49"
"08/01/2016","10:00","2.411,54","-1.540,93"
"08/01/2016","11:00","2.418,89","-1.719,62"
"08/01/2016","12:00","2.312,30","-1.580,98"
"08/01/2016","13:00","2.083,41","-1.512,18"
"08/01/2016","14:00","2.135,82","-1.731,17"
"08/01/2016","15:00","2.262,76","-1.344,31"
"08/01/2016","16:00","2.393,45","-1.248,47"
"08/01/2016","17:00","1.835,12","-1.255,54"
"08/01/2016","18:00","1.806,98","-1.458,19"
"08/01/2016","19:00","1.602,67","-1.256,87"
"08/01/2016","20:00","1.621,24","-896,00"
"08/01/2016","21:00","1.714,75","-802,81"
"08/01/2016","22:00","1.516,08","-1.426,24"
"08/01/2016","23:00","1.133,88","-1.568,01"
"09/01/2016","00:00","1.733,37","-1.053,01"
"09/01/2016","01:00","1.138,95","-1.234,34"
"09/01/2016","02:00","1.111,81","-1.073,38"
"09/01/2016","03:00","870,94","-1.097,33"
"09/01/2016","04:00","758,59","-1.035,12"
"09/01/2016","05:00","1.202,12","-1.035,86"
"09/01/2016","06:00","1.384,36","-1.088,84"
"09/01/2016","07:00","1.330,66","-1.152,56"
"09/01/2016","08:00","1.475,77","-1.257,12"
"09/01/2016","09:00","1.540,51","-1.490,26"
"09/01/2016","10:00","1.859,50","-1.622,31"
"09/01/2016","11:00","1.635,82","-1.590,07"
"09/01/2016","12:00","1.734,92","-1.231,09"
"09/01/2016","13:00","2.197,79","-1.048,97"
"09/01/2016","14:00","2.306,68","-1.194,66"
"09/01/2016","15:00","2.573,00","-1.238,28"
"09/01/2016","16:00","2.625,82","-980,41"
"09/01/2016","17:00","1.678,20","-804,02"
"09/01/2016","18:00","1.330,90","-867,36"
"09/01/2016","19:00","1.234,08","-1.139,38"
"09/01/2016","20:00","1.250,83","-1.012,98"
"09/01/2016","21:00","1.154,70","-1.074,92"
"09/01/2016","22:00","1.058,73","-1.206,22"
"09/01/2016","23:00","932,55","-1.531,44"
"10/01/2016","00:00","988,56","-1.871,53"
"10/01/2016","01:00","557,90","-2.078,34"
"10/01/2016","02:00","549,48","-1.804,78"
"10/01/2016","03:00","755,39","-1.464,58"
"10/01/2016","04:00","775,69","-1.403,34"
"10/01/2016","05:00","800,34","-1.496,98"
"10/01/2016","06:00","975,41","-1.660,28"
"10/01/2016","07:00","1.490,05","-1.489,39"
"10/01/2016","08:00","1.072,63","-1.463,66"
"10/01/2016","09:00","979,17","-1.537,98"
"10/01/2016","10:00","1.252,04","-1.468,25"
"10/01/2016","11:00","1.415,30","-1.798,81"
"10/01/2016","12:00","1.426,35","-1.888,58"
"10/01/2016","13:00","1.595,49","-1.775,27"
"10/01/2016","14:00","1.481,22","-1.655,14"
"10/01/2016","15:00","1.478,58","-1.600,30"
"10/01/2016","16:00","1.628,30","-1.592,37"
"10/01/2016","17:00","702,02","-1.583,79"
"10/01/2016","18:00","757,57","-1.803,99"
"10/01/2016","19:00","958,81","-1.502,54"
"10/01/2016","20:00","953,25","-1.519,72"
"10/01/2016","21:00","759,97","-1.853,50"
"10/01/2016","22:00","696,89","-1.797,35"
"10/01/2016","23:00","837,67","-1.669,90"
"11/01/2016","00:00","628,16","-1.175,50"
"11/01/2016","01:00","518,45","-878,87"
"11/01/2016","02:00","537,07","-903,24"
"11/01/2016","03:00","596,72","-927,11"
"11/01/2016","04:00","526,30","-1.002,56"
"11/01/2016","05:00","541,75","-928,70"
"11/01/2016","06:00","564,27","-1.472,66"
"11/01/2016","07:00","750,83","-1.678,97"
"11/01/2016","08:00","814,67","-1.612,71"
"11/01/2016","09:00","916,90","-1.517,20"
"11/01/2016","10:00","1.569,62","-1.304,43"
"11/01/2016","11:00","1.669,79","-1.352,95"
"11/01/2016","12:00","1.606,46","-1.535,68"
"11/01/2016","13:00","1.597,44","-1.799,82"
"11/01/2016","14:00","1.658,40","-1.549,53"
"11/01/2016","15:00","1.716,82","-1.485,70"
"11/01/2016","16:00","1.983,94","-1.564,82"
"11/01/2016","17:00","1.584,16","-1.166,98"
"11/01/2016","18:00","1.427,71","-1.161,82"
"11/01/2016","19:00","1.571,22","-1.527,50"
"11/01/2016","20:00","1.184,32","-1.446,81"
"11/01/2016","21:00","1.281,46","-1.270,92"
"11/01/2016","22:00","1.303,65","-1.391,52"
"11/01/2016","23:00","1.066,19","-1.084,52"
"12/01/2016","00:00","692,41","-1.076,67"
"12/01/2016","01:00","687,14","-994,48"
