"Tarih","PTF","SMF","Pozitif Dengesizlik Fiyatý (TL/MWh)","Negatif Dengesizlik Fiyatý (TL/MWh)","SMF Yön"
"01.01.15 00:00","70,23","100,00","68,12","103,00","? Enerji Açýðý"
"01.01.15 01:00","20,02","0,00","0,00","20,62","?Enerji Fazlasý"
"01.01.15 02:00","0,00","0,00","0,00","0,00","?Enerji Fazlasý"
"01.01.15 03:00","0,00","0,00","0,00","0,00","?Enerji Fazlasý"
"01.01.15 04:00","0,00","0,00","0,00","0,00","?Enerji Fazlasý"
"01.01.15 05:00","0,00","0,00","0,00","0,00","?Enerji Fazlasý"
"01.01.15 06:00","0,00","0,00","0,00","0,00","?Enerji Fazlasý"
"01.01.15 07:00","0,00","0,00","0,00","0,00","?Enerji Fazlasý"
"01.01.15 08:00","0,00","0,00","0,00","0,00","?Enerji Fazlasý"
"01.01.15 09:00","0,00","0,00","0,00","0,00","?Enerji Fazlasý"
"01.01.15 10:00","0,24","100,00","0,23","103,00","? Enerji Açýðý"
"01.01.15 11:00","90,02","210,78","87,32","217,10","? Enerji Açýðý"
"01.01.15 12:00","88,20","228,16","85,55","235,00","? Enerji Açýðý"
"01.01.15 13:00","125,08","223,72","121,33","230,43","? Enerji Açýðý"
"01.01.15 14:00","122,98","230,00","119,29","236,90","? Enerji Açýðý"
"01.01.15 15:00","125,00","221,72","121,25","228,37","? Enerji Açýðý"
"01.01.15 16:00","165,00","228,16","160,05","235,00","? Enerji Açýðý"
"01.01.15 17:00","165,00","215,00","160,05","221,45","? Enerji Açýðý"
"01.01.15 18:00","160,00","214,99","155,20","221,44","? Enerji Açýðý"
"01.01.15 19:00","150,01","213,99","145,51","220,41","? Enerji Açýðý"
"01.01.15 20:00","125,09","208,80","121,34","215,06","? Enerji Açýðý"
"01.01.15 21:00","151,58","205,00","147,03","211,15","? Enerji Açýðý"
"01.01.15 22:00","165,00","165,00","160,05","169,95","? Enerji Açýðý"
"01.01.15 23:00","150,00","200,00","145,50","206,00","? Enerji Açýðý"
"02.01.15 00:00","122,98","160,00","119,29","164,80","? Enerji Açýðý"
"02.01.15 01:00","94,57","190,00","91,73","195,70","? Enerji Açýðý"
"02.01.15 02:00","0,00","0,00","0,00","0,00","?Enerji Fazlasý"
"02.01.15 03:00","0,00","0,00","0,00","0,00","?Enerji Fazlasý"
"02.01.15 04:00","0,00","0,00","0,00","0,00","?Enerji Fazlasý"
"02.01.15 05:00","0,00","0,00","0,00","0,00","?Enerji Fazlasý"
"02.01.15 06:00","59,88","20,03","19,43","61,68","?Enerji Fazlasý"
"02.01.15 07:00","122,98","30,00","29,10","126,67","?Enerji Fazlasý"
"02.01.15 08:00","155,00","155,00","150,35","159,65","?Enerji Fazlasý"
"02.01.15 09:00","194,85","195,00","189,00","200,85","? Enerji Açýðý"
"02.01.15 10:00","194,84","209,00","188,99","215,27","? Enerji Açýðý"
"02.01.15 11:00","180,27","234,00","174,86","241,02","? Enerji Açýðý"
"02.01.15 12:00","165,00","210,00","160,05","216,30","? Enerji Açýðý"
"02.01.15 13:00","167,99","219,85","162,95","226,45","? Enerji Açýðý"
"02.01.15 14:00","178,00","219,85","172,66","226,45","? Enerji Açýðý"
"02.01.15 15:00","197,68","219,85","191,75","226,45","? Enerji Açýðý"
"02.01.15 16:00","209,64","215,72","203,35","222,19","? Enerji Açýðý"
"02.01.15 17:00","194,85","217,00","189,00","223,51","? Enerji Açýðý"
"02.01.15 18:00","160,00","214,68","155,20","221,12","? Enerji Açýðý"
"02.01.15 19:00","154,99","210,00","150,34","216,30","? Enerji Açýðý"
"02.01.15 20:00","145,00","208,80","140,65","215,06","? Enerji Açýðý"
"02.01.15 21:00","123,57","205,00","119,86","211,15","? Enerji Açýðý"
"02.01.15 22:00","150,00","200,00","145,50","206,00","? Enerji Açýðý"
"02.01.15 23:00","122,98","204,95","119,29","211,10","? Enerji Açýðý"
"03.01.15 00:00","165,01","119,00","115,43","169,96","?Enerji Fazlasý"
"03.01.15 01:00","145,00","145,00","140,65","149,35","? Enerji Açýðý"
"03.01.15 02:00","95,85","95,00","92,15","98,73","?Enerji Fazlasý"
"03.01.15 03:00","20,02","19,07","18,50","20,62","?Enerji Fazlasý"
"03.01.15 04:00","20,10","19,15","18,58","20,70","?Enerji Fazlasý"
"03.01.15 05:00","30,07","29,12","28,25","30,97","?Enerji Fazlasý"
"03.01.15 06:00","100,94","100,00","97,00","103,97","?Enerji Fazlasý"
"03.01.15 07:00","122,78","95,00","92,15","126,46","?Enerji Fazlasý"
"03.01.15 08:00","165,00","95,00","92,15","169,95","?Enerji Fazlasý"
